parametro,valor,unidad,horas_operacion,fecha
temperatura_devanado_A,122.0,C,21440,2026-10-02
temperatura_devanado_A,123.0,C,21480,2026-10-03
temperatura_devanado_A,123.0,C,21520,2026-10-04
temperatura_devanado_A,122.0,C,21560,2026-10-05
temperatura_devanado_A,123.0,C,21600,2026-10-06
temperatura_devanado_A,122.0,C,21640,2026-10-07
temperatura_devanado_B,121.0,C,21440,2026-10-02
temperatura_devanado_B,122.0,C,21480,2026-10-03
temperatura_devanado_B,122.0,C,21520,2026-10-04
temperatura_devanado_B,121.0,C,21560,2026-10-05
temperatura_devanado_B,122.0,C,21600,2026-10-06
temperatura_devanado_B,121.0,C,21640,2026-10-07
temperatura_devanado_C,120.0,C,21440,2026-10-02
temperatura_devanado_C,121.0,C,21480,2026-10-03
temperatura_devanado_C,121.0,C,21520,2026-10-04
temperatura_devanado_C,120.0,C,21560,2026-10-05
temperatura_devanado_C,121.0,C,21600,2026-10-06
temperatura_devanado_C,120.0,C,21640,2026-10-07
temperatura_aceite,66.0,C,21440,2026-10-02
temperatura_aceite,67.0,C,21480,2026-10-03
temperatura_aceite,67.0,C,21520,2026-10-04
temperatura_aceite,66.0,C,21560,2026-10-05
temperatura_aceite,67.0,C,21600,2026-10-06
temperatura_aceite,66.0,C,21640,2026-10-07
temperatura_agua,97.0,C,21440,2026-10-02
temperatura_agua,98.0,C,21480,2026-10-03
temperatura_agua,98.0,C,21520,2026-10-04
temperatura_agua,97.0,C,21560,2026-10-05
temperatura_agua,98.0,C,21600,2026-10-06
temperatura_agua,97.0,C,21640,2026-10-07
temperatura_agua_LT,44.0,C,21440,2026-10-02
temperatura_agua_LT,45.0,C,21480,2026-10-03
temperatura_agua_LT,45.0,C,21520,2026-10-04
temperatura_agua_LT,44.0,C,21560,2026-10-05
temperatura_agua_LT,45.0,C,21600,2026-10-06
temperatura_agua_LT,44.0,C,21640,2026-10-07
temperatura_aire_carga,60.0,C,21440,2026-10-02
temperatura_aire_carga,61.0,C,21480,2026-10-03
temperatura_aire_carga,61.0,C,21520,2026-10-04
temperatura_aire_carga,60.0,C,21560,2026-10-05
temperatura_aire_carga,61.0,C,21600,2026-10-06
temperatura_aire_carga,60.0,C,21640,2026-10-07
temperatura_gases_escape,446.0,C,21440,2026-10-02
temperatura_gases_escape,448.0,C,21480,2026-10-03
temperatura_gases_escape,448.0,C,21520,2026-10-04
temperatura_gases_escape,510.0,C,21560,2026-10-05
temperatura_gases_escape,448.0,C,21600,2026-10-06
temperatura_gases_escape,446.0,C,21640,2026-10-07
presion_aceite,4.3,bar,21440,2026-10-02
presion_aceite,4.4,bar,21480,2026-10-03
presion_aceite,4.4,bar,21520,2026-10-04
presion_aceite,4.3,bar,21560,2026-10-05
presion_aceite,4.4,bar,21600,2026-10-06
presion_aceite,4.3,bar,21640,2026-10-07
presion_aceite_turbo_A,3.8,bar,21440,2026-10-02
presion_aceite_turbo_A,3.9,bar,21480,2026-10-03
presion_aceite_turbo_A,3.9,bar,21520,2026-10-04
presion_aceite_turbo_A,3.8,bar,21560,2026-10-05
presion_aceite_turbo_A,3.9,bar,21600,2026-10-06
presion_aceite_turbo_A,3.8,bar,21640,2026-10-07
vibracion_motor,2.9,mm/s,21440,2026-10-02
vibracion_motor,3.0,mm/s,21480,2026-10-03
vibracion_motor,3.0,mm/s,21520,2026-10-04
vibracion_motor,2.9,mm/s,21560,2026-10-05
vibracion_motor,3.0,mm/s,21600,2026-10-06
vibracion_motor,2.9,mm/s,21640,2026-10-07
