parametro,valor,unidad,horas_operacion,fecha
temperatura_devanado_A,154.0,C,20960,2026-09-20
temperatura_devanado_A,159.6,C,21000,2026-09-21
temperatura_devanado_A,165.2,C,21040,2026-09-22
temperatura_devanado_A,170.8,C,21080,2026-09-23
temperatura_devanado_A,176.4,C,21120,2026-09-24
temperatura_devanado_A,182.0,C,21160,2026-09-25
temperatura_devanado_B,121.0,C,20960,2026-09-20
temperatura_devanado_B,122.0,C,21000,2026-09-21
temperatura_devanado_B,122.0,C,21040,2026-09-22
temperatura_devanado_B,121.0,C,21080,2026-09-23
temperatura_devanado_B,122.0,C,21120,2026-09-24
temperatura_devanado_B,121.0,C,21160,2026-09-25
temperatura_devanado_C,120.0,C,20960,2026-09-20
temperatura_devanado_C,121.0,C,21000,2026-09-21
temperatura_devanado_C,121.0,C,21040,2026-09-22
temperatura_devanado_C,120.0,C,21080,2026-09-23
temperatura_devanado_C,121.0,C,21120,2026-09-24
temperatura_devanado_C,120.0,C,21160,2026-09-25
temperatura_aceite,66.0,C,20960,2026-09-20
temperatura_aceite,67.0,C,21000,2026-09-21
temperatura_aceite,67.0,C,21040,2026-09-22
temperatura_aceite,66.0,C,21080,2026-09-23
temperatura_aceite,67.0,C,21120,2026-09-24
temperatura_aceite,66.0,C,21160,2026-09-25
temperatura_agua,97.0,C,20960,2026-09-20
temperatura_agua,98.0,C,21000,2026-09-21
temperatura_agua,98.0,C,21040,2026-09-22
temperatura_agua,97.0,C,21080,2026-09-23
temperatura_agua,98.0,C,21120,2026-09-24
temperatura_agua,97.0,C,21160,2026-09-25
temperatura_agua_LT,44.0,C,20960,2026-09-20
temperatura_agua_LT,45.0,C,21000,2026-09-21
temperatura_agua_LT,45.0,C,21040,2026-09-22
temperatura_agua_LT,44.0,C,21080,2026-09-23
temperatura_agua_LT,45.0,C,21120,2026-09-24
temperatura_agua_LT,44.0,C,21160,2026-09-25
temperatura_aire_carga,60.0,C,20960,2026-09-20
temperatura_aire_carga,61.0,C,21000,2026-09-21
temperatura_aire_carga,61.0,C,21040,2026-09-22
temperatura_aire_carga,60.0,C,21080,2026-09-23
temperatura_aire_carga,61.0,C,21120,2026-09-24
temperatura_aire_carga,60.0,C,21160,2026-09-25
temperatura_gases_escape,446.0,C,20960,2026-09-20
temperatura_gases_escape,448.0,C,21000,2026-09-21
temperatura_gases_escape,448.0,C,21040,2026-09-22
temperatura_gases_escape,446.0,C,21080,2026-09-23
temperatura_gases_escape,448.0,C,21120,2026-09-24
temperatura_gases_escape,446.0,C,21160,2026-09-25
presion_aceite,4.3,bar,20960,2026-09-20
presion_aceite,4.4,bar,21000,2026-09-21
presion_aceite,4.4,bar,21040,2026-09-22
presion_aceite,4.3,bar,21080,2026-09-23
presion_aceite,4.4,bar,21120,2026-09-24
presion_aceite,4.3,bar,21160,2026-09-25
presion_aceite_turbo_A,3.8,bar,20960,2026-09-20
presion_aceite_turbo_A,3.9,bar,21000,2026-09-21
presion_aceite_turbo_A,3.9,bar,21040,2026-09-22
presion_aceite_turbo_A,3.8,bar,21080,2026-09-23
presion_aceite_turbo_A,3.9,bar,21120,2026-09-24
presion_aceite_turbo_A,3.8,bar,21160,2026-09-25
vibracion_motor,2.9,mm/s,20960,2026-09-20
vibracion_motor,3.0,mm/s,21000,2026-09-21
vibracion_motor,3.0,mm/s,21040,2026-09-22
vibracion_motor,2.9,mm/s,21080,2026-09-23
vibracion_motor,3.0,mm/s,21120,2026-09-24
vibracion_motor,2.9,mm/s,21160,2026-09-25
