parametro,valor,unidad,horas_operacion,fecha
temperatura_devanado_A,122.0,C,20720,2026-09-14
temperatura_devanado_A,123.0,C,20760,2026-09-15
temperatura_devanado_A,123.0,C,20800,2026-09-16
temperatura_devanado_A,122.0,C,20840,2026-09-17
temperatura_devanado_A,123.0,C,20880,2026-09-18
temperatura_devanado_A,122.0,C,20920,2026-09-19
temperatura_devanado_B,121.0,C,20720,2026-09-14
temperatura_devanado_B,122.0,C,20760,2026-09-15
temperatura_devanado_B,122.0,C,20800,2026-09-16
temperatura_devanado_B,121.0,C,20840,2026-09-17
temperatura_devanado_B,122.0,C,20880,2026-09-18
temperatura_devanado_B,121.0,C,20920,2026-09-19
temperatura_devanado_C,120.0,C,20720,2026-09-14
temperatura_devanado_C,121.0,C,20760,2026-09-15
temperatura_devanado_C,121.0,C,20800,2026-09-16
temperatura_devanado_C,120.0,C,20840,2026-09-17
temperatura_devanado_C,121.0,C,20880,2026-09-18
temperatura_devanado_C,120.0,C,20920,2026-09-19
temperatura_aceite,66.0,C,20720,2026-09-14
temperatura_aceite,67.0,C,20760,2026-09-15
temperatura_aceite,67.0,C,20800,2026-09-16
temperatura_aceite,66.0,C,20840,2026-09-17
temperatura_aceite,67.0,C,20880,2026-09-18
temperatura_aceite,66.0,C,20920,2026-09-19
temperatura_agua,97.0,C,20720,2026-09-14
temperatura_agua,98.0,C,20760,2026-09-15
temperatura_agua,98.0,C,20800,2026-09-16
temperatura_agua,97.0,C,20840,2026-09-17
temperatura_agua,98.0,C,20880,2026-09-18
temperatura_agua,97.0,C,20920,2026-09-19
temperatura_agua_LT,44.0,C,20720,2026-09-14
temperatura_agua_LT,45.0,C,20760,2026-09-15
temperatura_agua_LT,45.0,C,20800,2026-09-16
temperatura_agua_LT,44.0,C,20840,2026-09-17
temperatura_agua_LT,45.0,C,20880,2026-09-18
temperatura_agua_LT,44.0,C,20920,2026-09-19
temperatura_aire_carga,60.0,C,20720,2026-09-14
temperatura_aire_carga,61.0,C,20760,2026-09-15
temperatura_aire_carga,61.0,C,20800,2026-09-16
temperatura_aire_carga,60.0,C,20840,2026-09-17
temperatura_aire_carga,61.0,C,20880,2026-09-18
temperatura_aire_carga,60.0,C,20920,2026-09-19
temperatura_gases_escape,446.0,C,20720,2026-09-14
temperatura_gases_escape,448.0,C,20760,2026-09-15
temperatura_gases_escape,448.0,C,20800,2026-09-16
temperatura_gases_escape,510.0,C,20840,2026-09-17
temperatura_gases_escape,448.0,C,20880,2026-09-18
temperatura_gases_escape,446.0,C,20920,2026-09-19
presion_aceite,4.3,bar,20720,2026-09-14
presion_aceite,4.4,bar,20760,2026-09-15
presion_aceite,4.4,bar,20800,2026-09-16
presion_aceite,4.3,bar,20840,2026-09-17
presion_aceite,4.4,bar,20880,2026-09-18
presion_aceite,4.3,bar,20920,2026-09-19
presion_aceite_turbo_A,3.8,bar,20720,2026-09-14
presion_aceite_turbo_A,3.9,bar,20760,2026-09-15
presion_aceite_turbo_A,3.9,bar,20800,2026-09-16
presion_aceite_turbo_A,3.8,bar,20840,2026-09-17
presion_aceite_turbo_A,3.9,bar,20880,2026-09-18
presion_aceite_turbo_A,3.8,bar,20920,2026-09-19
vibracion_motor,2.9,mm/s,20720,2026-09-14
vibracion_motor,3.0,mm/s,20760,2026-09-15
vibracion_motor,3.0,mm/s,20800,2026-09-16
vibracion_motor,2.9,mm/s,20840,2026-09-17
vibracion_motor,3.0,mm/s,20880,2026-09-18
vibracion_motor,2.9,mm/s,20920,2026-09-19
